Date : 2025-01-24 11:27:04
Directory : /home/lilefebv/Documents/cursus/FdF/42-FdF/includes
Total : 131 files,  -5504 codes, -2185 comments, -1097 blanks, all -8786 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Perl         |          1 |        -18 |        -13 |         -8 |        -39 |
| Shell Script |          1 |        -72 |         -8 |        -15 |        -95 |
| YAML         |          1 |        -79 |         -2 |         -8 |        -89 |
| Markdown     |          2 |       -126 |          0 |        -68 |       -194 |
| C++          |          6 |       -258 |       -861 |       -131 |     -1,250 |
| Makefile     |          5 |       -321 |        -65 |        -90 |       -476 |
| C            |        115 |     -4,630 |     -1,236 |       -777 |     -6,643 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        131 |     -5,504 |     -2,185 |     -1,097 |     -8,786 |
| ..                                                                                        |        131 |     -5,504 |     -2,185 |     -1,097 |     -8,786 |
| .. (Files)                                                                                |          2 |       -228 |        -22 |        -84 |       -334 |
| ../libft                                                                                  |         62 |     -1,351 |     -1,425 |       -338 |     -3,114 |
| ../libft (Files)                                                                          |          1 |       -102 |        -20 |        -22 |       -144 |
| ../libft/includes                                                                         |          4 |       -117 |       -778 |        -74 |       -969 |
| ../libft/srcs                                                                             |         57 |     -1,132 |       -627 |       -242 |     -2,001 |
| ../libft/srcs/char                                                                        |          7 |        -33 |        -77 |        -14 |       -124 |
| ../libft/srcs/fd                                                                          |          4 |        -34 |        -44 |        -12 |        -90 |
| ../libft/srcs/get_next_line                                                               |          2 |       -104 |        -22 |        -16 |       -142 |
| ../libft/srcs/lists                                                                       |         10 |       -155 |       -110 |        -39 |       -304 |
| ../libft/srcs/memory                                                                      |          7 |       -107 |        -77 |        -28 |       -212 |
| ../libft/srcs/params_to_string                                                            |          3 |       -175 |        -33 |        -26 |       -234 |
| ../libft/srcs/printf                                                                      |          1 |        -39 |        -11 |         -7 |        -57 |
| ../libft/srcs/str                                                                         |         23 |       -485 |       -253 |       -100 |       -838 |
| ../minilibx                                                                               |         44 |     -2,600 |       -485 |       -505 |     -3,590 |
